239,1.29335
239.5,1.46455
240,1.45309
240.5,1.19875
241,0.698251
241.5,0.00751105
242,-0.770535
242.5,-1.50966
243,-2.0898
243.5,-2.42509
244,-2.48362
244.5,-2.29412
245,-1.93796
245.5,-1.52845
246,-1.18249
246.5,-0.991603
247,-0.999356
247.5,-1.19077
248,-1.49627
248.5,-1.80925
249,-2.01288
249.5,-2.0096
250,-1.74609
250.5,-1.22755
251,-0.517726
251.5,0.275239
252,1.02383
252.5,1.61089
253,1.95679
253.5,2.03752
254,1.88918
254.5,1.5979
255,1.27763
255.5,1.04128
256,0.972292
256.5,1.10367
257,1.40951
257.5,1.8112
258,2.19675
258.5,2.44855
259,2.47263
259.5,2.22246
260,1.7112
260.5,1.00956
261,0.229767
261.5,-0.500643
262,-1.06859
262.5,-1.40165
263,-1.48434
263.5,-1.36036
264,-1.12051
264.5,-0.879065
265,-0.744584
265.5,-0.792188
266,-1.04424
266.5,-1.46409
267,-1.96452
267.5,-2.42869
268,-2.73867
268.5,-2.80439
269,-2.58601
269.5,-2.1042
270,-1.43582
270.5,-0.696054
271,-0.0112463
271.5,0.510765
272,0.805719
272.5,0.867238
273,0.746909
273.5,0.540158
274,0.361402
274.5,0.314609
275,0.466482
275.5,0.828897
276,1.35489
276.5,1.9492
277,2.49088
277.5,2.86232
278,2.97772
278.5,2.80397
279,2.36889
279.5,1.75473
280,1.07857
280.5,0.464432
281,0.0138141
281.5,-0.218039
282,-0.234434
282.5,-0.0950708
283,0.100008
283.5,0.23639
284,0.214801
284.5,-0.0231057
285,-0.479041
285.5,-1.09631
286,-1.77246
286.5,-2.38327
287,-2.81224
287.5,-2.97838
288,-2.85547
288.5,-2.47818
289,-1.93349
289.5,-1.33948
290,-0.81679
290.5,-0.459626
291,-0.313465
291.5,-0.364855
292,-0.545815
292.5,-0.751726
293,-0.8683
293.5,-0.800992
294,-0.499635
294.5,0.0277834
295,0.715598
295.5,1.45512
296,2.1199
296.5,2.59547
297,2.80628
297.5,2.73328
298,2.41783
298.5,1.95111
299,1.45139
299.5,1.03506
300,0.788238
300.5,0.746036
301,0.884542
301.5,1.12744
302,1.36564
302.5,1.48513
303,1.39609
303.5,1.05629
304,0.482856
304.5,-0.250465
305,-1.02983
305.5,-1.72771
306,-2.23271
306.5,-2.47547
307,-2.44446
307.5,-2.18772
308,-1.80017
308.5,-1.39968
309,-1.09767
309.5,-0.971551
310,-1.04568
310.5,-1.28554
311,-1.60657
311.5,-1.89546
312,-2.03863
312.5,-1.95104
313,-1.59813
313.5,-1.00552
314,-0.254116
314.5,0.538265
315,1.24424
315.5,1.75658
316,2.01295
316.5,2.00978
317,1.80183
317.5,1.48751
318,1.18378
318.5,0.996572
319,0.994181
319.5,1.19001
320,1.53902
320.5,1.94868
321,2.30178
321.5,2.48553
322,2.41973
322.5,2.07724
323,1.49155
323.5,0.749735
324,-0.0275804
324.5,-0.714421
325,-1.20884
325.5,-1.4564
326,-1.46198
326.5,-1.28716
327,-1.03368
327.5,-0.817242
328,-0.737946
328.5,-0.854756
329,-1.17015
329.5,-1.62884
330,-2.1308
330.5,-2.55545
331,-2.79121
331.5,-2.7629
332,-2.4506
332.5,-1.89508
333,-1.18867
333.5,-0.453604
334,0.186761
334.5,0.636875
335,0.851013
335.5,0.843024
336,0.68145
