### Footprint positions - created on 2026-01-22T12:56:30-0500 ###
### Printed by KiCad version 9.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref       Val                       Package                                          PosX       PosY       Rot  Side
Q1002_4     DMN62D0UW                 GEN_SOT_323                                   21.3000    28.6250  180.0000  bottom
Q1003_1     DMN62D0UW                 GEN_SOT_323                                   30.3250    87.7000  180.0000  bottom
Q1003_2     DMN62D0UW                 GEN_SOT_323                                   30.3250    67.2000  180.0000  bottom
Q1003_3     DMN62D0UW                 GEN_SOT_323                                   30.3250    46.7000  180.0000  bottom
Q1003_4     DMN62D0UW                 GEN_SOT_323                                   30.3250    26.2000  180.0000  bottom
R1          10K                       GEN_R_0402                                    98.0750    39.9112  180.0000  bottom
R3          0                         GEN_R_0402                                   105.7750    28.1500    0.0000  bottom
R7          100                       GEN_R_0402                                     8.7500    92.4000  180.0000  bottom
R8          10K                       GEN_R_0402                                    10.6500    90.0500  -90.0000  bottom
R9          4.7K                      GEN_R_0402                                    71.9500    92.7250   90.0000  bottom
R10         4.7K                      GEN_R_0402                                    71.9500    90.0250   90.0000  bottom
R11         4.7K                      GEN_R_0402                                    67.9000    92.4750  -90.0000  bottom
R12         4.7K                      GEN_R_0402                                    67.9000    90.6250   90.0000  bottom
R15         10K                       GEN_R_0402                                    66.0500    64.2500  -90.0000  bottom
R16         10K                       GEN_R_0402                                    69.5750    65.5000  -90.0000  bottom
R17         10K                       GEN_R_0402                                    72.5250    62.4750    0.0000  bottom
R41         0                         GEN_R_0402                                    45.9000    13.9250   90.0000  bottom
R42         0.01                      GEN_R_0603                                    51.8500    12.1750  180.0000  bottom
R44         1K                        GEN_R_0402                                    92.3500    68.3500  -90.0000  bottom
R45         10K                       GEN_R_0402                                    91.4000    68.3500   90.0000  bottom
R46         4.7K                      GEN_R_0402                                    94.3500    65.3250   90.0000  bottom
R47         4.7K                      GEN_R_0402                                    95.3000    65.3250   90.0000  bottom
R50         1K                        GEN_R_0402                                    94.8250    62.8250  180.0000  bottom
R53         1K                        GEN_R_0402                                    94.8250    61.8500  180.0000  bottom
R58         10K                       GEN_R_0402                                   113.5000    58.6000    0.0000  bottom
R59         10K                       GEN_R_0402                                    90.6750    51.1500   90.0000  bottom
R60         100                       GEN_R_0402                                   102.1000    37.8000    0.0000  bottom
R61         10K                       GEN_R_0402                                    99.8250    34.7250   90.0000  bottom
R62         10K                       GEN_R_0402                                   106.3250    32.3250   90.0000  bottom
R63         49.9                      GEN_R_0402                                   103.9250    29.1000  180.0000  bottom
R66         10K                       GEN_R_0402                                    79.0600    49.6900   90.0000  bottom
R67         10K                       GEN_R_0402                                    79.0600    53.1400   90.0000  bottom
R68         10K                       GEN_R_0402                                    70.7750    51.3000  -90.0000  bottom
R69         4.7K                      GEN_R_0402                                    93.7250    33.5000  180.0000  bottom
R73         4.7K                      GEN_R_0402                                    46.5750    19.4500    0.0000  bottom
R74         1K                        GEN_R_0402                                    47.0250    21.8000   90.0000  bottom
R86         10K                       GEN_R_0402                                    65.4000    55.7000    0.0000  bottom
R87         10K                       GEN_R_0402                                    49.5750    16.8000  -90.0000  bottom
R88         35.7k                     GEN_R_0402                                    47.9750    21.8000   90.0000  bottom
R92         10K                       GEN_R_0402                                    47.0250    18.0500  -90.0000  bottom
R95         1K                        GEN_R_0402                                    46.5750    20.4000    0.0000  bottom
R101        10K                       GEN_R_0402                                    63.5000    56.7000    0.0000  bottom
R108        10K                       GEN_R_0402                                    57.7500    15.1500    0.0000  bottom
R111        10K                       GEN_R_0402                                    96.4250    90.2500  -90.0000  bottom
R113        4.7K                      GEN_R_0402                                    90.1400    37.3400  180.0000  bottom
R114        4.7K                      GEN_R_0402                                    88.7400    37.8100  -90.0000  bottom
R117        10K                       GEN_R_0402                                    94.0750    38.7750   90.0000  bottom
R118        10K                       GEN_R_0402                                    93.7250    34.4500  180.0000  bottom
R119        4.7K                      GEN_R_0402                                    94.3000    36.9250   90.0000  bottom
R121        10K                       GEN_R_0402                                    64.9000    45.1500    0.0000  bottom
R128        10K                       GEN_R_0402                                    68.1250    46.6500  180.0000  bottom
R1027_1     22                        GEN_R_0603                                    15.3700    88.3700   90.0000  bottom
R1027_2     22                        GEN_R_0603                                    15.3700    67.8700   90.0000  bottom
R1027_3     22                        GEN_R_0603                                    15.3700    47.3700   90.0000  bottom
R1027_4     22                        GEN_R_0603                                    15.3700    26.8700   90.0000  bottom
R1028_1     22                        GEN_R_0603                                    24.8400    87.0100  180.0000  bottom
R1028_2     22                        GEN_R_0603                                    24.8400    66.5100  180.0000  bottom
R1028_3     22                        GEN_R_0603                                    24.8400    46.0100  180.0000  bottom
R1028_4     22                        GEN_R_0603                                    24.8400    25.5100  180.0000  bottom
R1029_1     10K                       GEN_R_0402                                    21.9500    87.7500  -90.0000  bottom
R1029_2     10K                       GEN_R_0402                                    21.9500    67.2500  -90.0000  bottom
R1029_3     10K                       GEN_R_0402                                    21.9500    46.7500  -90.0000  bottom
R1029_4     10K                       GEN_R_0402                                    21.9500    26.2500  -90.0000  bottom
R1030_1     10K                       GEN_R_0402                                    30.9750    85.3250  -90.0000  bottom
R1030_2     10K                       GEN_R_0402                                    30.9750    64.8250  -90.0000  bottom
R1030_3     10K                       GEN_R_0402                                    30.9750    44.3250  -90.0000  bottom
R1030_4     10K                       GEN_R_0402                                    30.9750    23.8250  -90.0000  bottom
R1031_1     10K                       GEN_R_0402                                    20.6500    87.7500   90.0000  bottom
R1031_2     10K                       GEN_R_0402                                    20.6500    67.2500   90.0000  bottom
R1031_3     10K                       GEN_R_0402                                    20.6500    46.7500   90.0000  bottom
R1031_4     10K                       GEN_R_0402                                    20.6500    26.2500   90.0000  bottom
R1032_1     10K                       GEN_R_0402                                    29.6750    85.3250   90.0000  bottom
R1032_2     10K                       GEN_R_0402                                    29.6750    64.8250   90.0000  bottom
R1032_3     10K                       GEN_R_0402                                    29.6750    44.3250   90.0000  bottom
R1032_4     10K                       GEN_R_0402                                    29.6750    23.8250   90.0000  bottom
R1036_1     35.7k                     GEN_R_0402                                    39.9250    89.0750  -90.0000  bottom
R1036_2     35.7k                     GEN_R_0402                                    39.9250    68.5750  -90.0000  bottom
R1036_3     35.7k                     GEN_R_0402                                    39.9250    48.0750  -90.0000  bottom
R1036_4     35.7k                     GEN_R_0402                                    39.9250    27.5750  -90.0000  bottom
R1045_1     1K                        GEN_R_0402                                    43.5500    92.4250  -90.0000  bottom
R1045_2     1K                        GEN_R_0402                                    43.5500    71.9250  -90.0000  bottom
R1045_3     1K                        GEN_R_0402                                    43.5500    51.4250  -90.0000  bottom
R1045_4     1K                        GEN_R_0402                                    43.5500    30.9250  -90.0000  bottom
R1046_1     1K                        GEN_R_0402                                    44.5000    92.4250  -90.0000  bottom
R1046_2     1K                        GEN_R_0402                                    44.5000    71.9250  -90.0000  bottom
